table,column,data_type,label
BACKUP_DATOS,COL_035,VARCHAR2,
BACKUP_DATOS,COL_036,VARCHAR2,
BACKUP_DATOS,COL_037,VARCHAR2,
BACKUP_DATOS,COL_038,VARCHAR2,
BACKUP_DATOS,COL_039,VARCHAR2,
BACKUP_DATOS,COL_040,VARCHAR2,
BACKUP_DATOS,COL_041,VARCHAR2,
BACKUP_DATOS,COL_042,VARCHAR2,
BACKUP_DATOS,COL_043,VARCHAR2,
BACKUP_DATOS,COL_044,VARCHAR2,
BACKUP_DATOS,COL_045,VARCHAR2,
BACKUP_DATOS,COL_046,VARCHAR2,
BACKUP_DATOS,COL_047,VARCHAR2,
BACKUP_DATOS,COL_048,VARCHAR2,
BACKUP_DATOS,COL_049,VARCHAR2,
BACKUP_DATOS,COL_050,VARCHAR2,
CACHE_TEMPORAL,ID,NUMBER,
CACHE_TEMPORAL,DATOS,BLOB,
CACHE_TEMPORAL,RESULTADO,BLOB,
CACHE_TEMPORAL,TIMESTAMP,VARCHAR2,
CATEGORIAS,ID,NUMBER,
CATEGORIAS,NOMBRE,VARCHAR2,
CATEGORIAS,CAT_PADRE_ID,NUMBER,
CATEGORIAS,NIVEL,VARCHAR2,
CATEGORIAS,ACTIVO,CHAR,
CATEGORIAS,RUTA_COMPLETA,VARCHAR2,
CLIENTES_DIRECCIONES,ID_CLIENTE,NUMBER,
CLIENTES_DIRECCIONES,NOMBRE_CLIENTE,VARCHAR2,
CLIENTES_DIRECCIONES,DIRECCION_COMPLETA,VARCHAR2,
CLIENTES_DIRECCIONES,TELEFONOS,VARCHAR2,
CLIENTES_DIRECCIONES,EMAILS,VARCHAR2,
CLIENTES_DIRECCIONES,PROVINCIA_CIUDAD,VARCHAR2,
CLIENTES_DIRECCIONES,CODIGO_POSTAL_PAIS,VARCHAR2,
CLIENTES_DIRECCIONES,FAX,VARCHAR2,
CLIENTES_DIRECCIONES,DIRECCION_ALTERNATIVA,VARCHAR2,
CLIENTES_DIRECCIONES,OBSERVACIONES,CLOB,
CONFIGURACION,ID,NUMBER,
CONFIGURACION,CLAVE,VARCHAR2,
CONFIGURACION,VALOR,VARCHAR2,
CONFIGURACION,TIPO_DATO,VARCHAR2,
CONFIGURACION,ACTIVO,CHAR,
CONFIGURACION,ULTIMA_MODIFICACION,VARCHAR2,
DATOS_MAESTROS,ID,NUMBER,
DATOS_MAESTROS,DESCRIPCION,CLOB,
DATOS_MAESTROS,DATOS_BINARIOS,BLOB,
DATOS_MAESTROS,NOMBRE_LARGO,NVARCHAR2,
DATOS_MAESTROS,CODIGO_HEX,RAW,
DATOS_MAESTROS,FLAG_ACTIVO,CHAR,
DATOS_MAESTROS,FECHA_REGISTRO,DATE,
DATOS_MAESTROS,COMENTARIOS,CLOB,
DEPARTAMENTOS,ID,NUMBER,
DEPARTAMENTOS,NOMBRE_DEPARTAMENTO,VARCHAR2,
DEPARTAMENTOS,PRESUPUESTO,VARCHAR2,
EMPLEADOS,ID,NUMBER,
EMPLEADOS,NOMBRE_EMPLEADO,VARCHAR2,
EMPLEADOS,FECHA_NACIMIENTO,VARCHAR2,
EMPLEADOS,SALARIO,VARCHAR2,
EMPLEADOS,DEPARTAMENTO,NUMBER,
EMPLEADOS,EMAIL,DATE,
EMPLEADOS,ACTIVO,VARCHAR2,
EMPLEADOS,COL_A_BORRAR_1,VARCHAR2,
EMPLEADOS,DUPLICADO_NOMBRE,VARCHAR2,
EMPLEADOS,FECHA_ALTA,VARCHAR2,
EMPLEADOS_HISTORIAL,ID,NUMBER,
EMPLEADOS_HISTORIAL,EMPLEADO_ID,NUMBER,
EMPLEADOS_HISTORIAL,SALARIO_ANTERIOR,VARCHAR2,
EMPLEADOS_HISTORIAL,SALARIO_NUEVO,VARCHAR2,
EMPLEADOS_HISTORIAL,FECHA_CAMBIO,VARCHAR2,
EMPLEADOS_HISTORIAL,TIPO_CAMBIO,VARCHAR2,
EMPLEADOS_HISTORIAL,OBSERVACIONES,VARCHAR2,
INVENTARIO,PRODUCTO_ID,NUMBER,
INVENTARIO,STOCK,NUMBER,
INVENTARIO,STOCK_2,VARCHAR2,
INVENTARIO,STOCK_COPIA,NUMBER,
INVENTARIO,UBICACION,VARCHAR2,
INVENTARIO,FECHA_ACTUALIZACION,VARCHAR2,
METADATA,ID,NUMBER,
METADATA,NOMBRE_CAMPO,CLOB,
METADATA,VALOR_CAMPO,BLOB,
METADATA,TIPO_DATO,CLOB,
METADATA,ES_ACTIVO,CLOB,
METADATA,FECHA_CREACION,CLOB,
ORDENES_COMPRA,ORDER_ID,NUMBER,
ORDENES_COMPRA,FECHA_ORDEN,VARCHAR2,
ORDENES_COMPRA,CLIENTE,VARCHAR2,
ORDENES_COMPRA,PRODUCTO,VARCHAR2,
ORDENES_COMPRA,CANTIDAD,VARCHAR2,
ORDENES_COMPRA,PRECIO,VARCHAR2,
ORDENES_COMPRA,NOTAS,CLOB,
ORDENES_COMPRA,ESTADO,NUMBER,
ORDENES_COMPRA,DIRECCION_ENVIO,VARCHAR2,
ORDENES_COMPRA,TELF_CONTACTO,VARCHAR2,
ORDENES_COMPRA,BACKUP_ORDER_ID,NUMBER,
PRODUCTOS,SKU,VARCHAR2,
PRODUCTOS,DESCRIPCION,VARCHAR2,
PRODUCTOS,PRECIOS,VARCHAR2,
PRODUCTOS,CATEGORIAS,VARCHAR2,
PRODUCTOS,PROVEEDORES_ID,VARCHAR2,
PRODUCTOS,TALLAS_DISPONIBLES,VARCHAR2,
PRODUCTOS,PROVEEDOR_NOMBRE,VARCHAR2,
PRODUCTOS,STOCK_SEGURIDAD,VARCHAR2,
PRODUCTOS,UBICACION_ALMACEN,VARCHAR2,
PROVEEDORES,ID,NUMBER,
PROVEEDORES,NOMBRE_PROVEEDOR,VARCHAR2,
PROVEEDORES,CONTACTO,VARCHAR2,
PROVEEDORES,TELEFONO,VARCHAR2,
REPORTES,ID,NUMBER,
REPORTES,NULL,VARCHAR2,
REPORTES,SELECT,NUMBER,
REPORTES,FROM,VARCHAR2,
REPORTES,WHERE,VARCHAR2,
REPORTES,FECHA_GENERACION,VARCHAR2,
TABLA_BASE_DATOS,A,VARCHAR2,
TABLA_BASE_DATOS,B,VARCHAR2,
TABLA_BASE_DATOS,C,VARCHAR2,
TABLA_BASE_DATOS,D,VARCHAR2,
TABLA_BASE_DATOS,E,VARCHAR2,
TABLA_BASE_DATOS,F,VARCHAR2,
TABLA_BASE_DATOS,G,VARCHAR2,
TABLA_BASE_DATOS,H,VARCHAR2,
TABLA_BASE_DATOS,I,VARCHAR2,
TABLA_BASE_DATOS,J,VARCHAR2,
TABLA_BASE_DATOS,K,VARCHAR2,
TABLA_BASE_DATOS,L,VARCHAR2,
TABLA_BASE_DATOS,M,VARCHAR2,
TABLA_BASE_DATOS,N,VARCHAR2,
TABLA_BASE_DATOS,O,VARCHAR2,
TABLA_BASE_DATOS,P,VARCHAR2,
TABLA_BASE_DATOS,Q,VARCHAR2,
TABLA_BASE_DATOS,R,VARCHAR2,
TABLA_BASE_DATOS,S,VARCHAR2,
TABLA_BASE_DATOS,T,VARCHAR2,
TABLA_BASE_DATOS,U,VARCHAR2,
TABLA_BASE_DATOS,V,VARCHAR2,
TABLA_BASE_DATOS,W,VARCHAR2,
TABLA_BASE_DATOS,X,VARCHAR2,
TABLA_BASE_DATOS,Y,VARCHAR2,
TABLA_BASE_DATOS,Z,VARCHAR2,
TABLA_BASE_DATOS,AAA,VARCHAR2,
TABLA_BASE_DATOS,AAB,VARCHAR2,
TABLA_BASE_DATOS,AAC,VARCHAR2,
TABLA_BASE_DATOS,AAD,VARCHAR2,
TABLA_BASE_DATOS,AAE,VARCHAR2,
TABLA_BASE_DATOS,AAF,VARCHAR2,
TABLA_BASE_DATOS,AAG,VARCHAR2,
TABLA_BASE_DATOS,AAH,VARCHAR2,
TABLA_BASE_DATOS,AAI,VARCHAR2,
TABLA_BASE_DATOS,AAJ,VARCHAR2,
TABLA_BASE_DATOS,AAK,VARCHAR2,
TABLA_BASE_DATOS,AAL,VARCHAR2,
TABLA_BASE_DATOS,AAM,VARCHAR2,
TABLA_BASE_DATOS,AAN,VARCHAR2,
TABLA_VACIA,ID,NUMBER,
TABLA_VACIA,NOMBRE,VARCHAR2,
TABLA_VACIA,ESTADO,VARCHAR2,
TBL_DATOS,C1,NUMBER,
TBL_DATOS,C2,VARCHAR2,
TBL_DATOS,C3,VARCHAR2,
TBL_DATOS,C4,VARCHAR2,
TBL_DATOS,C5,VARCHAR2,
TBL_DATOS,C6,DATE,
TBL_DATOS,C7,VARCHAR2,
TBL_DATOS,COL_EXTRA,VARCHAR2,
TBL_DATOS,TEMP_DATA,CLOB,
TODO_EN_UNO,ID,NUMBER,
TODO_EN_UNO,TIPO_REGISTRO,VARCHAR2,
TODO_EN_UNO,NOMBRE_O_DESCRIPCION,VARCHAR2,
TODO_EN_UNO,CANT_O_PRECIO,VARCHAR2,
TODO_EN_UNO,FECHA_O_DIRECCION,VARCHAR2,
TODO_EN_UNO,ESTADO_O_ACTIVO,VARCHAR2,
TODO_EN_UNO,OBSERVACIONES,VARCHAR2,
TODO_EN_UNO,FLAG_S_N,CHAR,
TODO_EN_UNO,FLAG_Y_N,CHAR,
TODO_EN_UNO,FLAG_1_0,VARCHAR2,
TODO_EN_UNO,FLAG_T_F,CHAR,
TODO_EN_UNO,EXTRA_INFO,VARCHAR2,
TODO_EN_UNO,COL_A_BORRAR,VARCHAR2,
TODO_EN_UNO,BACKUP_COLUMN,VARCHAR2,
TODO_EN_UNO,REPETIDA_1,VARCHAR2,
TODO_EN_UNO,FECHA_CREACION,DATE,
TRANSACCIONES,ID,NUMBER,
TRANSACCIONES,DESCRIPCION,VARCHAR2,
TRANSACCIONES,MONTO,VARCHAR2,
TRANSACCIONES,FECHA,VARCHAR2,
TRANSACCIONES,TIPO,CHAR,
TRANSACCIONES,MONEDA,VARCHAR2,
TRANSACCIONES,CONFIRMADO,CHAR,
USUARIOS_WEB,ID,NUMBER,
USUARIOS_WEB,NOMBRE_USUARIO,VARCHAR2,
USUARIOS_WEB,EMAIL,VARCHAR2,
USUARIOS_WEB,INTENTOS_FALLIDOS,VARCHAR2,
USUARIOS_WEB,ACTIVO,VARCHAR2,
USUARIOS_WEB,FECHA_EXPIRACION,VARCHAR2,
USUARIOS_WEB,ROL,VARCHAR2,
USUARIOS_WEB,ULTIMO_ACCESO,VARCHAR2,
VENTAS,ID_VENTA,NUMBER,
VENTAS,PRODUCTO_FK,VARCHAR2,
VENTAS,CLIENTE_NOMBRE,VARCHAR2,
VENTAS,CANTIDAD,NUMBER,
VENTAS,PRECIO_TOTAL,VARCHAR2,
VENTAS,FECHA_VENTA,VARCHAR2,
VENTAS,VENDEDOR,VARCHAR2,
